language	twit.deg	twit.bet	twit.eig
afr	3	0	0.016902294720264
amh	1	0	7.35044068930531e-06
ara	3	0	0.0782142230918448
aze	3	586	0.000388309598876704
bel	1	0	2.91720337626518e-06
ben	1	0	7.28361850122071e-05
bod	1	0	4.68458418310951e-07
bul	3	0	0.000410716293057688
cat	2	0	0.0158302127732259
ces	5	0	0.0186554731945827
chr	1	0	8.68688445099719e-06
cym	1	0	0.000549278386055361
dan	3	268	0.00673789217871104
deu	3	32	0.0246840608785545
div	2	1858	2.25623676151642e-05
ell	3	0	0.0088298719683317
eng	66	3051	1
est	1	0	0.000644834115016329
eus	2	0	0.000891521529890701
fas	3	242	0.000607138838496296
fil	4	136	0.192074214256645
fin	2	0	0.00199940461131377
fra	5	76	0.0533202868027797
gle	1	0	0.00021717211127493
glg	3	0	0.00701005514372092
guj	2	0	2.7822968404057e-05
hat	3	58	0.00137428306875409
hbs	6	950	0.00463294448841658
heb	2	440	0.00104906411670691
hin	1	0	0.000634142564922794
hun	1	0	0.00174606377465043
hye	3	1656	6.2301989906541e-05
isl	1	0	0.000228531883249311
ita	3	0	0.0363186589524597
jpn	16	2465	0.0637320179989406
kan	2	0	5.22196531460097e-05
kat	3	0	0.000151890770457981
khm	1	0	1.60373251403025e-05
kor	6	136	0.0324615375831031
lao	2	0	3.73027655402303e-05
lav	2	0	0.00337560860843113
lit	1	0	0.000302036290142364
mal	1	0	9.6892172722661e-05
mkd	4	136	0.000247574376660892
mlt	2	0	0.000871606192497848
msa	8	122	0.70041735481996
mya	1	0	1.87102126636862e-05
nld	4	268	0.152647883419535
nor	3	136	0.00630296343082955
pan	2	0	0.000110545508494695
pol	1	0	0.00338521204836552
por	11	628	0.507845665182444
ron	2	0	0.00226870964853764
rus	12	1902	0.0202112076445559
sin	1	0	9.88968383651988e-05
slk	3	120	0.00193684696293526
slv	2	0	0.000703737664153356
spa	14	594	0.502116098052256
sqi	3	0	0.00374922328795012
swa	3	28	0.00411833266321727
swe	2	0	0.0105047907124791
tam	2	0	0.000625609786222913
tel	2	0	4.84658446345582e-05
tha	3	0	0.0264464725330567
tur	5	504	0.0347441694563832
ukr	1	0	2.81456103524845e-05
urd	2	226	0.000324986699188262
vie	2	0	0.00294994588492629
yid	1	0	1.60373251403025e-05
zho	3	264	0.00654338172436946
