	tsrc.name.new	ttgt.name.new	tweight.new	tcommon.num.new
fra_hat	fra	hat	0.516556291390728	78
eng_vie	eng	vie	0.564994882292733	552
eng_ita	eng	ita	0.366109308709758	2934
eng_swe	eng	swe	0.160752458315519	376
ara_eng	ara	eng	0.00571165463385885	7753
deu_eng	deu	eng	0.00166421099160159	2259
rus_ukr	rus	ukr	0.471830985915493	67
jpn_zho	jpn	zho	0.048637092463923	91
eng_tur	eng	tur	0.0408117249154453	724
eng_heb	eng	heb	0.141949152542373	67
msa_por	msa	por	0.00140786812336112	371
cat_spa	cat	spa	0.00185246382342948	398
eng_por	eng	por	0.0961145116670904	25328
eng_jpn	eng	jpn	0.00395977089252695	1756
eng_fil	eng	fil	0.946221161495625	11894
eng_swa	eng	swa	0.973094170403587	217
eng_hat	eng	hat	0.443708609271523	67
eng_nld	eng	nld	0.271702119869659	14842
eng_fra	eng	fra	0.296236122393718	5470
eng_rus	eng	rus	0.0598950293300401	970
eng_tha	eng	tha	0.0558698920322537	2044
kor_tha	kor	tha	0.0037720377203772	138
ara_fra	ara	fra	0.00519902518277823	96
eng_hun	eng	hun	0.356076759061834	167
eng_spa	eng	spa	0.12818770392229	27541
jpn_kor	jpn	kor	0.0146365761140274	764
eng_tam	eng	tam	0.348178137651822	86
eng_zho	eng	zho	0.121859967931587	228
eng_pol	eng	pol	0.583484573502722	643
kor_zho	kor	zho	0.0309994655264564	58
eng_fin	eng	fin	0.550724637681159	114
eng_kor	eng	kor	0.0175485650791218	916
eng_msa	eng	msa	0.270466933561721	81476
eng_ron	eng	ron	0.216463414634146	71
por_spa	por	spa	0.00409589991110035	880
eng_nor	eng	nor	0.265	106
spa_fra	spa	fra	0.00427836447332792	79
hat_fra	hat	fra	0.00422420796100731	78
msa_kor	msa	kor	0.00272041074370666	142
msa_fil	msa	fil	0.0119331742243437	150
ita_eng	ita	eng	0.00216148519227936	2934
spa_ita	spa	ita	0.0179685550286998	144
eng_ara	eng	ara	0.148325999617371	7753
eng_deu	eng	deu	0.2757568359375	2259
ukr_rus	ukr	rus	0.004137079345477	67
por_msa	por	msa	0.00123156797524914	371
spa_cat	spa	cat	0.597597597597598	398
por_eng	por	eng	0.0186592014144688	25328
jpn_eng	jpn	eng	0.00129364962428172	1756
fil_eng	fil	eng	0.008762339767202	11894
nld_eng	nld	eng	0.0109341387947547	14842
spa_fil	spa	fil	0.00421638822593477	53
fra_eng	fra	eng	0.00402976278178871	5470
tha_eng	tha	eng	0.00150581994990423	2044
tha_kor	tha	kor	0.00264377945515154	138
fra_ara	fra	ara	0.00183661756265544	96
spa_eng	spa	eng	0.0202895240901724	27541
kor_jpn	kor	jpn	0.00172281603752311	764
eng_ell	eng	ell	0.110243055555556	254
zho_kor	zho	kor	0.0011111536840492	58
eng_dan	eng	dan	0.440414507772021	85
msa_eng	msa	eng	0.0600235744806247	81476
jpn_ell	jpn	ell	0.03515625	81
spa_por	spa	por	0.00333941765109916	880
