	tsrc.name.new	ttgt.name.new	tweight.new	tcommon.num.new
fra_nld	fra	nld	0.00153058410398779	666
fra_spa	fra	spa	0.00205924438258881	4208
eng_vie	eng	vie	0.715121951219512	4398
nld_tur	nld	tur	0.00669074190034226	1560
ita_spa	ita	spa	0.00465336379135861	9509
ces_fil	ces	fil	0.00333448494047226	859
cat_eng	cat	eng	0.00105502434972625	11457
eng_zho	eng	zho	0.397669307012815	9589
rus_ukr	rus	ukr	0.733286418015482	2084
eng_swa	eng	swa	0.930447125621008	5244
ces_spa	ces	spa	0.0015977739803119	3265
kor_tha	kor	tha	0.0311342600099889	4800
nor_swe	nor	swe	0.0195607037482242	716
jpn_kor	jpn	kor	0.0678800753150196	19684
eng_tam	eng	tam	0.652234636871508	934
jpn_msa	jpn	msa	0.00137494286207283	2271
eng_pol	eng	pol	0.617277933471427	5066
spa_swa	spa	swa	0.0951029098651526	536
eng_kor	eng	kor	0.135477374457725	39286
ita_msa	ita	msa	0.00229338774175776	3788
fil_por	fil	por	0.0077970383496073	12611
afr_eng	afr	eng	0.00196667147046378	21357
eng_ron	eng	ron	0.596230158730159	3005
fil_ita	fil	ita	0.0184442302951525	1646
eng_msa	eng	msa	0.60221528662806	994682
eng_fas	eng	fas	0.31261493196028	850
eng_ita	eng	ita	0.523923713049909	46756
ara_fra	ara	fra	0.0163484236656453	2417
ces_por	ces	por	0.00305241284053693	4937
deu_eng	deu	eng	0.00339445819844716	36862
fil_nld	fil	nld	0.0205272931183468	8932
eng_tur	eng	tur	0.202377786736891	47186
eng_por	eng	por	0.410730990120619	664320
eng_jpn	eng	jpn	0.0363003597412568	94469
eng_sqi	eng	sqi	0.71619786614937	3692
eng_slv	eng	slv	0.471300448430493	1051
ara_msa	ara	msa	0.00534841270081522	8834
afr_nld	afr	nld	0.0519548270853634	22607
eng_glg	eng	glg	0.575252633842185	5351
eng_mlt	eng	mlt	0.827854671280277	957
msa_rus	msa	rus	0.00255388449533022	621
bul_rus	bul	rus	0.00215908109508593	525
eng_eus	eng	eus	0.298461538461538	582
eng_hat	eng	hat	0.706153846153846	1836
fra_msa	fra	msa	0.00171459189140918	2832
