	tsrc.name.new	ttgt.name.new	tweight.new	tcommon.num.new
eng_vie	eng	vie	0.623309053069719	1198
nld_tur	nld	tur	0.0033641042071327	168
eng_zho	eng	zho	0.196192245182261	845
rus_ukr	rus	ukr	0.518207282913165	185
eng_swa	eng	swa	0.97682119205298	590
kor_tha	kor	tha	0.00882376750586902	545
jpn_kor	jpn	kor	0.0259734580992151	2376
eng_spa	eng	spa	0.16608541360744	86864
eng_pol	eng	pol	0.621945597049332	1349
eng_kor	eng	kor	0.0371674063709307	3400
eng_msa	eng	msa	0.349553676693502	207544
kor_zho	kor	zho	0.0357557464592524	154
eng_ron	eng	ron	0.312345679012346	253
fil_ita	fil	ita	0.00383765554134202	66
eng_fas	eng	fas	0.106043329532497	93
eng_ita	eng	ita	0.402779392952669	6927
deu_eng	deu	eng	0.00188354748334793	5603
eng_tur	eng	tur	0.0587516770459961	2934
eng_por	eng	por	0.166624837313695	92947
eng_jpn	eng	jpn	0.00679265431338727	5903
eng_slv	eng	slv	0.486631016042781	91
ara_fra	ara	fra	0.0081377151799687	312
eng_hat	eng	hat	0.537634408602151	200
dan_nor	dan	nor	0.0426666666666667	64
fra_hat	fra	hat	0.475806451612903	177
eng_fil	eng	fil	0.942738905846443	32121
kor_msa	kor	msa	0.00134065415838583	796
eng_heb	eng	heb	0.231351351351351	214
msa_por	msa	por	0.00280376177346896	1564
cat_spa	cat	spa	0.00330014072442487	1726
eng_rus	eng	rus	0.0710019243745783	2841
eng_tha	eng	tha	0.10046142637416	6205
eng_hun	eng	hun	0.389598540145985	427
msa_tur	msa	tur	0.00196239412082741	98
jpn_rus	jpn	rus	0.00237422837577787	95
eng_nor	eng	nor	0.334	501
eng_hbs	eng	hbs	0.442084942084942	229
aze_tur	aze	tur	0.00126153907767476	63
jpn_tha	jpn	tha	0.00212094228122723	131
eng_nld	eng	nld	0.344778066877186	44656
ara_fas	ara	fas	0.0684150513112885	60
fil_msa	fil	msa	0.00182234648162495	1082
eng_swe	eng	swe	0.218789209535759	1395
ara_eng	ara	eng	0.00747670526095688	22241
jpn_zho	jpn	zho	0.0636173670768516	274
por_spa	por	spa	0.00488329050416055	2554
eng_fra	eng	fra	0.36189358372457	13875
eng_tam	eng	tam	0.425	187
eng_fin	eng	fin	0.591355599214145	301
eng_est	eng	est	0.368686868686869	73
eng_lav	eng	lav	0.19129193433262	268
eng_hin	eng	hin	0.672514619883041	115
spa_heb	spa	heb	0.0713513513513514	66
spa_fra	spa	fra	0.0134324465310381	515
tur_nld	tur	nld	0.00129708695887153	168
spa_ita	spa	ita	0.0208163739969764	358
eng_cat	eng	cat	0.111943092474729	299
ukr_rus	ukr	rus	0.00462349736335691	185
tha_kor	tha	kor	0.00595771660945801	545
kor_jpn	kor	jpn	0.00273409226640829	2376
spa_eng	spa	eng	0.0292008689262065	86864
eng_dan	eng	dan	0.560683760683761	328
kor_eng	kor	eng	0.00114297009519596	3400
por_fil	por	fil	0.00187837520544729	64
msa_eng	msa	eng	0.069769583952162	207544
eng_afr	eng	afr	0.81151832460733	155
zho_kor	zho	kor	0.00168346487680098	154
ita_fil	ita	fil	0.00193707443061752	66
ita_eng	ita	eng	0.00232863348512424	6927
eng_deu	eng	deu	0.32112563044475	5603
por_eng	por	eng	0.0312457768935821	92947
jpn_eng	jpn	eng	0.00198439778586523	5903
spa_fil	spa	fil	0.0136182202394928	464
nld_afr	nld	afr	0.31413612565445	60
fra_ara	fra	ara	0.00271009771986971	312
nor_dan	nor	dan	0.109401709401709	64
hat_fra	hat	fra	0.00461658841940532	177
fil_eng	fil	eng	0.0107980418905263	32121
msa_kor	msa	kor	0.00870154572684143	796
eng_ces	eng	ces	0.368029739776952	198
spa_eus	spa	eus	0.686131386861314	94
por_msa	por	msa	0.0026341496277832	1564
spa_cat	spa	cat	0.646199925121677	1726
tha_eng	tha	eng	0.00208592042373263	6205
tur_aze	tur	aze	0.484615384615385	63
nld_eng	nld	eng	0.0150119036973738	44656
msa_fil	msa	fil	0.0317562808170932	1082
kor_fil	kor	fil	0.00220122094388354	75
eng_ara	eng	ara	0.193190010857763	22241
spa_por	spa	por	0.00457852146383613	2554
fra_eng	fra	eng	0.0046643264914247	13875
por_glg	por	glg	0.568181818181818	75
eng_ell	eng	ell	0.156308459779672	752
jpn_ell	jpn	ell	0.0999792143005612	481
